Key,en-GB,en,en-CE,da-DK,de,de-AT,de-CE,de-DE,en-US,en-IE,fi-FI,fr-FR,it-IT,nl,nl-NL,no-NO,sv-SE,fr-BE,nl-BE,de-CH,fr-CH,it-CH,es-ES,pt-PT,de-LU,fr-LU,gr-GR,pl-PL,hu-Hu,cs-Cz,sk-SK,ro-RO,sl-SI,hr HR
register.title,Create a Miele account,Create a Miele account,Create a Miele account,Opret en Miele-konto.,,Benutzerkonto erstellen,Benutzerkonto erstellen,,Create a Miele Account,Create a Miele account,Luo Miele-käyttäjätunnus,Créer un compte Miele,Crea un account Miele,Maak een Miele account,Maak een Miele account,Opprett en Miele-konto,,Créer un compte Miele,Maak een Miele account,Benutzerkonto erstellen,Créer un compte Miele,Crea un account Miele,Crear cuenta de usuario,Criar uma conta de utilizador,Benutzerkonto erstellen,Créer un compte Miele,Δημιουργία λογαριασμού Miele,,Miele fiók létrehozása,Vytvořit účet,Vytvoriť účet,Creare cont utilizator,Ustvarite račun Miele,Napravite Miele račun
register.fields.email.errors.emailAlreadyInUseModal.title,Known e-mail address,Known e-mail address,Known e-mail address,E-mailen findes allerede.,,E-Mail existiert bereits,E-Mail existiert bereits,,Known email address,Known e-mail address,Sähköpostiosoite on jo olemassa,L'adresse e-mail existe déjà,Indirizzo e-mail già in uso.,E-mailadres bestaat al,E-mailadres bestaat al,E-postadressen eksisterer allerede,,L'adresse e-mail existe déjà,E-mailadres bestaat al,E-Mail existiert bereits,L'adresse e-mail existe déjà,Indirizzo e-mail già in uso.,La dirección de e-mail ya existe,O endereço de e-mail já existe,E-Mail existiert bereits,L'adresse e-mail existe déjà,Η διεύθυνση e-mail υπάρχει ήδη,,Az e-mail cím már létezik,E-mailová adresa již existuje ,E-mailová adresa už existuje,Adresa de e-mail existentă,Znan e-poštni naslov,Poznata e-mail adresa
register.fields.email.errors.emailAlreadyInUseModal.title,"It looks like there's already an account associated with this email. If this is yours, please log in here","It looks like there's already an account associated with this email. If this is yours, please log in here","It looks like there's already an account associated with this email. If this is yours, please log in here","Din e-mailadresse er allerede knyttet til en konto. Hvis dette er din konto, bedes du logge ind her.",,"Ihre E-Mail-Adresse ist bereits mit einem Konto verknüpft. Wenn das Ihr Konto ist, melden Sie sich bitte hier an","Ihre E-Mail-Adresse ist bereits mit einem Konto verknüpft. Wenn das Ihr Konto ist, melden Sie sich bitte hier an",,"It appears there is already an account associated with this email. If this is your email, please log in here.","It looks like there's already an account associated with this email. If this is yours, please log in here","Näyttää siltä, että tämä sähköpostiosoite on jo liitetty olemassa olevaan käyttäjätiliin. Jos tämä on sinun sähköpostiosoitteesi, kirjaudu sisään täältä.","Il semble qu'il y ait déjà un compte associé à cette adresse e-mail. S'il s'agit de votre adresse e-mail, veuillez vous connecter ici.","Sembra che l'indirizzo e-mail sia già associato ad una registrazione. Se è il tuo account, accedi qui.","Het lijkt erop dat er al een account is gekoppeld aan dit e-mailadres. Als dit jouw e-mailadres is, log dan hier in.","Het lijkt erop dat er al een account is gekoppeld aan dit e-mailadres. Als dit jouw e-mailadres is, log dan hier in.","Det ser ut til at det finnes en konto som er knyttet til denne e-postadressen allerede. Hvis dette er e-postadressen din, logg inn her.",,"Il semble qu'il y ait déjà un compte associé à cette adresse e-mail. S'il s'agit de votre adresse e-mail, veuillez vous connecter ici.","Het lijkt erop dat er al een account is gekoppeld aan dit e-mailadres. Als dit uw e-mailadres is, log dan hier in.","Ihre E-Mail-Adresse ist bereits mit einem Konto verknüpft. Wenn das Ihr Konto ist, melden Sie sich bitte hier an","Il semble qu'il y ait déjà un compte associé à cette adresse e-mail. S'il s'agit de votre adresse e-mail, veuillez vous connecter ici.","Sembra che l'indirizzo e-mail sia già associato ad una registrazione. Se è il tuo account, accedi qui.","Ya existe una cuenta vinculada a tu dirección de e-mail. Si se trata de tu cuenta, conéctate.",Já existe uma conta associada a este endereço de e-mail.,"Ihre E-Mail-Adresse ist bereits mit einem Konto verknüpft. Wenn das Ihr Konto ist, melden Sie sich bitte hier an","Il semble qu'il y ait déjà un compte associé à cette adresse e-mail. S'il s'agit de votre adresse e-mail, veuillez vous connecter ici.","Φαίνεται ότι υπάρχει ήδη ένας λογαριασμός με αυτό το e-mail. Εάν αυτό είναι το δικό σας e-mail, παρακαλούμε συνδεθείτε εδώ.",,"Úgy tűnik, már van egy fiók társítva ehhez az e-mailhez. Ha ez az öné, kérjük, jelentkezzen be itt.","Zdá se, že k tomuto e-mailu je již přiřazen účet. Pokud je to váš účet, přihlaste se zde.","Tento e-mail sa už používa. Ak je to váš email, prosím prihláste sa. ","Se pare că există deja un cont asociat cu acest e-mail. Dacă acesta este al dvs., vă rugăm să vă conectați aici","Videti je, da že obstaja račun, povezan s tem e-poštnim naslovom. Če je to vaš, se prijavite tukaj","Čini se da već postoji račun povezan s ovom e-poštom. Ako je ovo Vaš, prijavite se ovdje"
register.title,Create a Miele account,Create a Miele account,Create a Miele account,Opret en Miele-konto.,,Benutzerkonto erstellen,Benutzerkonto erstellen,,Create a Miele Account,Create a Miele account,Luo Miele-käyttäjätunnus,Créer un compte Miele,Crea un account Miele,,,Opprett en Miele-konto,,Créer un compte Miele,,Benutzerkonto erstellen,Créer un compte Miele,Crea un account Miele,Crear una cuenta de usuario,Criar uma conta de utilizador,Benutzerkonto erstellen,Créer un compte Miele,Δημιουργία λογαριασμού Miele,,Miele fiók létrehozása,Vytvořit účet,Vytvoriť účet,Creare cont utilizator,Ustvarite račun Miele,Napravite Miele račun
dynamicFieldMessage.alphaDash,"This field only allows alpha, dash and underscore characters.","This field only allows alpha, dash and underscore characters.","This field only allows alpha, dash and underscore characters.","I dette felt, må der kun stå bogstaver, bindestreger og understregninger.",,"In diesem Feld sind nur Buchstaben, Bindestriche und Unterstriche zulässig.","In diesem Feld sind nur Buchstaben, Bindestriche und Unterstriche zulässig.",,"This field accepts only alphabetical characters, dashes, and underscores.","This field only allows alpha, dash and underscore characters.","Kentässä voi käyttää vain kirjaimia, yhdysmerkkejä ja alaviivoja.","Seuls les lettres (majuscules), les tirets et les tirets du bas sont autorisés dans ce champ.","In questo campo sono ammessi solo lettere, trattini e trattini bassi.","In dit veld zijn alleen (hoofd)letters, streep- en onderstrepingstekens toegestaan.","In dit veld zijn alleen (hoofd)letters, streep- en onderstrepingstekens toegestaan.","I dette feltet skal det bare stå bokstaver, bindestreker og understrekinger.",,"Seuls les lettres (majuscules), les tirets et les traits de soulignement sont autorisés dans ce champ.","In dit veld zijn alleen (hoofd)letters, streep- en onderstrepingstekens toegestaan.","In diesem Feld sind nur Buchstaben, Bindestriche und Unterstriche zulässig.","Seuls les lettres (majuscules), les tirets et les traits de soulignement sont autorisés dans ce champ.","In questo campo sono ammessi solo lettere, trattini e trattini bassi.","En este campo tan solo está permitido introducir letras, guiones y guiones bajos.","Neste campo só é permitido introduzir letras, traços e underscores.","In diesem Feld sind nur Buchstaben, Bindestriche und Unterstriche zulässig.","Seuls les lettres (majuscules), les tirets et les traits de soulignement sont autorisés dans ce champ.","Στο πεδίο αυτό επιτρέπονται μόνο γράμματα, οι παύλες και οι κάτω παύλες.",,"Ebben a mezőben csak betűk, kötőjelek és aláhúzásjelek használhatók.","Lze použít pouze písmena, pomlčky a podtržítka.","Je možné použiť iba písmená, pomlčky a podčiarkovník. ","Acest câmp permite numai litere, cratime și caractere de subliniere.","To polje dovoljuje samo črke, pomišljaje in podčrtaje.","Ovo polje dopušta samo znakove, crtice i podvlake."
dynamicFieldMessage.socialSecurityNumber,Please enter social security number with 12 digits: YYYYMMDDXXXX,Please enter social security number with 12 digits: YYYYMMDDXXXX,Please enter social security number with 12 digits: YYYYMMDDXXXX,Indtast personnummer med 12 cifre: YYYYMMDDXXXX,,Not necessary in AT,Not necessary in DE,,Not legally allowed in US,Please enter social security number with 12 digits: YYYYMMDDXXXX,Syötä 11-merkkinen henkilötunnus: PPKKVVXXXXX,Not necessary in FR,Not necessary in IT,Voer jouw 9-cijferig burgerservicenummer in.,Voer jouw 9-cijferig burgerservicenummer in.,Not legally allowed,,Saisissez votre numéro de registre national à 11 chiffres.,Voer uw 11-cijferig rijksregisternummer in.,Not necessary in CH,Not necessary in CH,Not necessary in CH,Introduce las 11 posiciones de tu número de registro.,Introduza os 11 algarismos do seu número de registo.,Geben Sie Ihre 11-stellige Nationalregisternummer ein.,Saisissez votre numéro de registre national à 11 chiffres.,Πληκτρολογήστε τα 9 ψηφία του αριθμού φορολογικού μητρώου σας.,,Adja meg 11 jegyű nemzeti regisztrációs számát.,We dont use this in VG CZ,We dont use this in VG SK,Vă rugăm să introduceți codul numeric personal format din 13 cifre. ,Vnesite 12-mestno številko socialnega zavarovanja: YYYYMMDDXXXX,Unesite broj socijalnog osiguranja s 12 znamenki: GGGGMMDDXXXX
dynamicFieldMessage.minLength,This field must be {value} or more characters long.,This field must be {value} or more characters long.,This field must be {value} or more characters long.,Dette felt skal indeholde mindst {værdi} tegn.,,Geben Sie mindestens {value} Zeichen ein.,Geben Sie mindestens {value} Zeichen ein.,,This field must have at least {value} characters.,This field must be {value} or more characters long.,Kentässä on oltava vähintään {value} merkkiä.,Ce champ doit comporter au moins {valeur} caractères.,Questo campo deve contenere almeno {valore} caratteri.,Dit veld moet {waarde} of meer tekens lang zijn.,Dit veld moet {waarde} of meer tekens lang zijn.,Dette feltet må inneholde minst {verdi} tegn.,,Ce champ doit comporter au moins {valeur} caractères.,Dit veld moet {waarde} of meer tekens lang zijn.,Geben Sie mindestens {value} Zeichen ein.,Ce champ doit comporter au moins {valeur} caractères.,Questo campo deve contenere almeno {valore} caratteri.,Este campo debe contener como mínimo {Wert} caracteres.,"Este campo deve conter, no mínimo, {Wert} caracteres.",Dieses Feld muss mindestens {Wert} Zeichen enthalten.,Ce champ doit comporter au moins {valeur} caractères.,Αυτό το πεδίο πρέπει να περιέχει τουλάχιστον {value} χαρακτήρες .,,Ennek a mezőnek legalább {value} karakter hosszúságúnak kell lennie.,Toto pole musí mít délku {value} nebo více znaků.,Toto pole musí obsahovať {value} alebo viac znakov.,Acest câmp trebuie să conţină {value} sau mai multe caractere.,To polje mora imeti {value} ali več znakov.,Ovo polje mora sadržavati {value} ili više znakova.
dynamicFieldMessage.postalCode,Please enter a valid post code.,Please enter a valid post code.,Please enter a valid post code.,Indtast et gyldigt postnummer,,Bitte geben Sie eine gültige Postleitzahl ein.,Bitte geben Sie eine gültige Postleitzahl ein.,,Please enter a valid postal code. ,Please enter a valid post code.,Syötä kelvollinen postinumero.,Entrez un code postal valide.,Inserisci un CAP (codice di avviamento postale) valido.,Voer een geldige postcode in.,Voer een geldige postcode in.,Legg inn gyldig postnummer,,Entrez un code postal valide.,Voer een geldige postcode in.,Bitte geben Sie eine gültige Postleitzahl ein.,Entrez un code postal valide.,Inserisci un CAP (codice di avviamento postale) valido.,Introduce un código postal válido.,Introduza um código postal válido.,Geben Sie eine gültige Postleitzahl ein.,Entrez un code postal valide.,Εισάγετε έναν έγκυρο ταχυδρομικό κώδικα.,,Érvényes irányítószámot adjon meg.,Zadejte poštovní směrovací číslo.,Zadajte poštové smerovacie číslo. ,Vă rugăm să introduceți un cod poștal valid.,Vnesite veljavno poštno številko.,Unesite važeći poštanski broj.
dynamicFieldMessage.digitsLengthBetween,This field must be a numerical value and between {value} characters long.,This field must be a numerical value and between {value} characters long.,This field must be a numerical value and between {value} characters long.,Dette felt skal indeholde en numerisk værdi og være mellem {værdi} tegn langt.,,Geben Sie mindestens {value} Zahlen ein.,Geben Sie mindestens {value} Zahlen ein.,,This field must contain a numerical value and be between {value} characters long.,This field must be a numerical value and between {value} characters long.,"Kenttään on syötettävä numero, jonka pituus on {value} merkkiä.",Ce champ doit être une valeur numérique et comporter au moins {valeur} caractères.,Questo campo deve contenere un valore numerico e almeno {valore} caratteri.,Dit veld moet een numerieke waarde zijn en tussen {value} karakters lang zijn.,Dit veld moet een numerieke waarde zijn en tussen {value} karakters lang zijn.,Dette feltet må ha en tallverdi og inneholde minst {verdi} tegn.,,Ce champ doit être une valeur numérique et comporter au moins {valeur} caractères.,Dit veld moet een numerieke waarde zijn en tussen {value} karakters lang zijn.,Geben Sie mindestens {value} Zahlen ein.,Ce champ doit être une valeur numérique et comporter au moins {valeur} caractères.,Questo campo deve contenere un valore numerico e almeno {valore} caratteri.,Este campo debe contener un valor numérico y como mínimo {Wert} caracteres.,"Este campo deve conter um valor numérico e, no mínimo, {Wert} caracteres.",Dieses Feld muss ein numerischer Wert sein und mindestens {Wert} Zeichen enthalten.,Ce champ doit être une valeur numérique et comporter au moins {valeur} caractères.,Αυτό το πεδίο πρέπει να είναι αριθμητική τιμή και να περιέχει τουλάχιστον {value} χαρακτήρες .,,"Ennek a mezőnek numerikus értéknek kell lennie, és legalább {value} karaktert kell tartalmaznia.","Pole musí obsahovat číselnou hodnotu, která má alespoň {hodnota} znaků.","Pole musí obsahovať číselnú hodnotu, ktorá má aspoň {value} znakov.",Acest câmp trebuie să fie o valoare numerică și să aibă între {value} caractere.,To polje mora vsebovati številsko vrednost in mora biti dolgo med {value} znakov.,Ovo polje mora biti brojčana vrijednost i mora imati između {value} znakova.
dynamicFieldMessage.required,This field is required,This field is required,This field is required,Dette felt er obligatorisk.,,Dieses Feld ist ein Pflichtfeld.,Dieses Feld ist ein Pflichtfeld.,,This field is required.,This field is required,Kenttä on pakollinen.,Ce champ est obligatoire.,Questo campo è obbligatorio.,Dit veld is verplicht.,Dit veld is verplicht.,Dette feltet er obligatorisk.,,Ce champ est obligatoire.,Dit veld is verplicht.,Dieses Feld ist ein Pflichtfeld.,Ce champ est obligatoire.,Questo campo è obbligatorio.,Este campo es obligatorio.,Este campo é obrigatório.,Dieses Feld ist ein Pflichtfeld.,Ce champ est obligatoire.,Αυτό το πεδίο είναι υποχρεωτικό.,,Ez kötelező mező.,Toto pole je povinné,Toto pole je povinné,Acest câmp este obligatoriu,To polje je obvezno,Ovo polje je obavezno
